label,name,degree
ASN,AS45012,2
ASN,AS135822,2
ASN,AS197019,2
ASN,AS210250,2
ASN,AS263753,2
ASN,AS28209,2
ASN,AS398787,2
ASN,AS131353,2
ASN,AS139016,2
ASN,AS48854,2
ASN,AS36666,2
ASN,AS328364,2
ASN,AS136821,2
ASN,AS197902,2
ASN,AS12703,2
ASN,AS48324,2
ASN,AS273612,2
ASN,AS20546,2
ASN,AS205544,2
ASN,AS46015,2
ASN,AS204932,2
ASN,AS133296,2
ASN,AS47302,2
ASN,AS29066,2
ASN,AS200000,2
ASN,AS44112,2
ASN,AS8972,2
ASN,AS8739,2
ASN,AS46844,2
ASN,AS43350,2
ASN,AS44709,2
ASN,AS32097,2
ASN,AS197712,2
ASN,AS214188,2
ASN,AS15817,2
ASN,AS52030,2
ASN,AS3170,2
ASN,AS34177,2
ASN,AS150156,2
ASN,AS12574,2
ASN,AS17506,2
ASN,AS399282,2
ASN,AS215540,2
ASN,AS38700,2
ASN,AS45996,2
ASN,AS20857,2
ASN,AS201814,2
ASN,AS61382,2
ASN,AS204170,2
ASN,AS135097,2
ASN,AS30823,2
ASN,AS174,2
ASN,AS15699,2
ASN,AS201106,2
ASN,AS34788,2
ASN,AS40630,2
ASN,AS20738,2
ASN,AS15967,2
ASN,AS15557,2
ASN,AS55720,2
ASN,AS60446,2
ASN,AS31244,2
ASN,AS62041,2
ASN,AS16625,2
ASN,AS26832,2
ASN,AS212921,2
ASN,AS26666,2
ASN,AS39287,2
ASN,AS9919,2
ASN,AS399471,2
ASN,AS149440,2
ASN,AS215381,2
ASN,AS209946,2
ASN,AS7018,2
ASN,AS51396,2
ASN,AS219502,2
ASN,AS132883,2
ASN,AS400619,2
ASN,AS8151,2
ASN,AS42708,2
ASN,AS4837,2
ASN,AS197769,2
ASN,AS43776,1
ASN,AS29119,1
ASN,AS400940,1
ASN,AS153656,1
ASN,AS139880,1
ASN,AS59692,1
ASN,AS44486,1
ASN,AS213802,1
ASN,AS154321,1
ASN,AS58791,1
ASN,AS50360,1
ASN,AS200322,1
ASN,AS58658,1
ASN,AS202425,1
ASN,AS151106,1
ASN,AS40680,1
ASN,AS57169,1
ASN,AS28824,1
ASN,AS201579,1
ASN,AS272547,1
ASN,AS3549,1
ASN,AS701,1
ASN,AS53038,1
ASN,AS19679,1
ASN,AS45839,1
ASN,AS33837,1
ASN,AS211443,1
ASN,AS9294,1
ASN,AS147303,1
ASN,AS151967,1
ASN,AS153523,1
ASN,AS11990,1
ASN,AS4788,1
ASN,AS36913,1
ASN,AS207326,1
ASN,AS47381,1
ASN,AS51790,1
ASN,AS36874,1
ASN,AS205654,1
ASN,AS49468,1
ASN,AS394432,1
ASN,AS21554,1
ASN,AS209274,1
ASN,AS32934,1
ASN,AS198920,1
ASN,AS59323,1
ASN,AS22552,1
ASN,AS27947,1
ASN,AS24835,1
ASN,AS262420,1
ASN,AS49056,1
ASN,AS6400,1
ASN,AS22927,1
ASN,AS10620,1
ASN,AS8452,1
ASN,AS34594,1
ASN,AS11664,1
ASN,AS57724,1
ASN,AS41436,1
ASN,AS3462,1
ASN,AS30860,1
ASN,AS149020,1
ASN,AS132335,1
ASN,AS42861,1
ASN,AS58469,1
ASN,AS139646,1
ASN,AS200430,1
ASN,AS216139,1
ASN,AS43128,1
ASN,AS60591,1
ASN,AS138145,1
ASN,AS59253,1
ASN,AS12252,1
ASN,AS209553,1
ASN,AS270179,1
ASN,AS394380,1
ASN,AS135951,1
ASN,AS37109,1
ASN,AS29017,1
ASN,AS11878,1
ASN,AS27589,1
ASN,AS53057,1
ASN,AS398839,1
ASN,AS8365,1
ASN,AS17054,1
ASN,AS44043,1
ASN,AS30083,1
ASN,AS15954,1
ASN,AS13737,1
ASN,AS9371,1
ASN,AS24640,1
ASN,AS36218,1
ASN,AS203363,1
ASN,AS57367,1
ASN,AS149161,1
ASN,AS30633,1
ASN,AS265831,1
ASN,AS21409,1
ASN,AS26042,1
ASN,AS264077,1
ASN,AS8708,1
ASN,AS62082,1
ASN,AS56851,1
ASN,AS62214,1
ASN,AS329263,1
ASN,AS61189,1
ASN,AS31042,1
ASN,AS263702,1
ASN,AS136797,1
ASN,AS37313,1
ASN,AS31477,1
ASN,AS9498,1
ASN,AS18024,1
ASN,AS29134,1
ASN,AS16347,1
ASN,AS39962,1
ASN,AS39392,1
ASN,AS14492,1
ASN,AS203476,1
ASN,AS8368,1
ASN,AS397273,1
ASN,AS198066,1
ASN,AS53243,1
ASN,AS51559,1
ASN,AS680,1
ASN,AS27176,1
ASN,AS9008,1
ASN,AS206170,1
ASN,AS133694,1
ASN,AS262954,1
ASN,AS38493,1
ASN,AS40509,1
ASN,AS59135,1
ASN,AS132322,1
ASN,AS51295,1
ASN,AS58955,1
ASN,AS209853,1
ASN,AS138358,1
ASN,AS274564,1
ASN,AS21260,1
ASN,AS48971,1
ASN,AS209150,1
ASN,AS32181,1
ASN,AS7506,1
ASN,AS42807,1
ASN,AS135682,1
ASN,AS44901,1
ASN,AS328882,1
ASN,AS12400,1
ASN,AS33970,1
ASN,AS149545,1
ASN,AS213192,1
ASN,AS25151,1
ASN,AS201446,1
ASN,AS16371,1
ASN,AS37519,1
ASN,AS12859,1
ASN,AS36943,1
ASN,AS10732,1
ASN,AS30447,1
ASN,AS29097,1
ASN,AS20055,1
ASN,AS1836,1
ASN,AS48894,1
ASN,AS138608,1
ASN,AS33915,1
ASN,AS19842,1
ASN,AS131965,1
ASN,AS24482,1
ASN,AS22458,1
ASN,AS41000,1
ASN,AS42585,1
ASN,AS47521,1
ASN,AS59210,1
ASN,AS12996,1
ASN,AS33876,1
ASN,AS4826,1
ASN,AS12779,1
ASN,AS22541,1
ASN,AS24560,1
ASN,AS270327,1
ASN,AS19527,1
ASN,AS2514,1
ASN,AS15083,1
ASN,AS133945,1
ASN,AS135437,1
ASN,AS53755,1
ASN,AS12322,1
ASN,AS12616,1
ASN,AS36444,1
ASN,AS20545,1
ASN,AS5391,1
ASN,AS3132,1
ASN,AS262256,1
ASN,AS216180,1
ASN,AS48660,1
ASN,AS9335,1
ASN,AS14001,1
ASN,AS58621,1
ASN,AS53292,1
ASN,AS210579,1
ASN,AS328853,1
ASN,AS34426,1
ASN,AS24066,1
ASN,AS267681,1
ASN,AS51013,1
ASN,AS23860,1
ASN,AS132056,1
ASN,AS12843,1
ASN,AS42730,1
ASN,AS40476,1
ASN,AS8851,1
ASN,AS58487,1
ASN,AS13767,1
ASN,AS12350,1
ASN,AS201536,1
ASN,AS199391,1
ASN,AS13649,1
ASN,AS60606,1
ASN,AS135222,1
ASN,AS57344,1
ASN,AS42846,1
ASN,AS208949,1
ASN,AS42532,1
ASN,AS43754,1
ASN,AS54994,1
ASN,AS152232,1
ASN,AS17878,1
ASN,AS138997,1
ASN,AS12338,1
ASN,AS55688,1
ASN,AS48347,1
ASN,AS139341,1
ASN,AS206264,1
ASN,AS44476,1
ASN,AS396362,1
ASN,AS215428,1
ASN,AS212317,1
ASN,AS34224,1
ASN,AS3352,1
ASN,AS14593,1
ASN,AS16532,1
ASN,AS11855,1
ASN,AS212112,1
ASN,AS201684,1
ASN,AS50010,1
ASN,AS28885,1
ASN,AS207957,1
ASN,AS15694,1
ASN,AS48950,1
ASN,AS41564,1
ASN,AS57858,1
ASN,AS53066,1
ASN,AS8622,1
ASN,AS749,1
ASN,AS207461,1
ASN,AS6697,1
ASN,AS61211,1
ASN,AS53055,1
ASN,AS49453,1
ASN,AS20677,1
ASN,AS204213,1
ASN,AS46050,1
ASN,AS5089,1
ASN,AS203417,1
ASN,AS328037,1
ASN,AS211126,1
ASN,AS12824,1
ASN,AS207459,1
ASN,AS9328,1
ASN,AS39421,1
ASN,AS62563,1
ASN,AS198968,1
ASN,AS270439,1
ASN,AS17378,1
ASN,AS24971,1
ASN,AS17444,1
ASN,AS212296,1
ASN,AS48282,1
